Manufacturer,Model,Description,Price,Rating,no. of reviews,url
Honor,View10 GSM Unlocked Smartphone AI Processor 599 FullView Display 20MP  16MP DualLens AI Camera Dual SIM 4G Fast Charging 6128 GB Black US Warranty ,Honor View10 GSM Unlocked Smartphone AI Processor 599 FullView Display 20MP  16MP DualLens AI Camera Dual SIM 4G Fast Charging 6128 GB Black US Warranty ,$488.38,4.3 out of 5 stars,383,https://www.amazon.com/Honor-Unlocked-Smartphone-Processor-Dual-Lens/dp/B07BBQYCNW/ref=sr_1_56?dchild=1&keywords=realme+phones&qid=1635947627&sr=8-56
Manufacturer,Model,Description,Price,Rating,no. of reviews,url
Acer,Aspire 5 A51546R14K Slim Laptop  156 Full HD IPS  AMD Ryzen 3 3350U QuadCore Mobile Processor  4GB DDR4  128GB NVMe SSD  WiFi 6  Backlit KB  Amazon Alexa  Windows 10 Home S mode ,Acer Aspire 5 A51546R14K Slim Laptop  156 Full HD IPS  AMD Ryzen 3 3350U QuadCore Mobile Processor  4GB DDR4  128GB NVMe SSD  WiFi 6  Backlit KB  Amazon Alexa  Windows 10 Home S mode ,$347.74,4.6 out of 5 stars,"35,866",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0734375183BFQM2NRRDU&url=%2FAcer-A515-46-R14K-Quad-Core-Processor-Backlit%2Fdp%2FB08VKNVDDR%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1635951895%26sr%3D8-1-spons%26psc%3D1&qualifier=1635951895&id=7745219053137011&widgetName=sp_atf
Lenovo,IdeaPad 3 11 Chromebook 116 Laptop 116 HD 1366 x 768 Display Intel Celeron N4020 Processor 4GB LPDDR4 RAM 64GB eMMC Storage Intel UHD Graphics 600 Chrome OS 82BA0003US Onyx Black ,Lenovo IdeaPad 3 11 Chromebook 116 Laptop 116 HD 1366 x 768 Display Intel Celeron N4020 Processor 4GB LPDDR4 RAM 64GB eMMC Storage Intel UHD Graphics 600 Chrome OS 82BA0003US Onyx Black ,$169.99,4.3 out of 5 stars,358,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08138952SYWRY6SM4OA4&url=%2FLenovo-Chromebook-Processor-Graphics-82BA0003US%2Fdp%2FB087YW8FQB%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1635951895%26sr%3D8-2-spons%26psc%3D1&qualifier=1635951895&id=7745219053137011&widgetName=sp_atf
Acer,Aspire 5 A51546R14K Slim Laptop  156 Full HD IPS  AMD Ryzen 3 3350U QuadCore Mobile Processor  4GB DDR4  128GB NVMe SSD  WiFi 6  Backlit KB  Amazon Alexa  Windows 10 Home S mode ,Acer Aspire 5 A51546R14K Slim Laptop  156 Full HD IPS  AMD Ryzen 3 3350U QuadCore Mobile Processor  4GB DDR4  128GB NVMe SSD  WiFi 6  Backlit KB  Amazon Alexa  Windows 10 Home S mode ,$347.74,4.6 out of 5 stars,"35,866",https://www.amazon.com/Acer-A515-46-R14K-Quad-Core-Processor-Backlit/dp/B08VKNVDDR/ref=sr_1_4?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-4&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
HP,Pavilion Business  Student Laptop 156 FHD Display AMD Ryzen 3 3250U Processor Beats i77600U 16GB RAM 512GB SSD AMD Radeon Graphics Webcam WiFi Bluetooth HDMI Windows 10 ,HP Pavilion Business  Student Laptop 156 FHD Display AMD Ryzen 3 3250U Processor Beats i77600U 16GB RAM 512GB SSD AMD Radeon Graphics Webcam WiFi Bluetooth HDMI Windows 10 ,$579.00,5.0 out of 5 stars,4,https://www.amazon.com/HP-Pavilion-Business-Processor-Bluetooth/dp/B09CF4VV9J/ref=sr_1_5?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-5&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
2021,Newest Dell Inspiron 3000 Laptop Computer 156 Inch HD Display Intel Pentium Processor N5030 Up to 310Ghz 16GB RAM 1TB HDD Webcam WiFi HDMI Windows 10 Home Black Latest Model ,2021 Newest Dell Inspiron 3000 Laptop Computer 156 Inch HD Display Intel Pentium Processor N5030 Up to 310Ghz 16GB RAM 1TB HDD Webcam WiFi HDMI Windows 10 Home Black Latest Model ,$509.99,4.4 out of 5 stars,95,https://www.amazon.com/Dell-Inspiron-Computer-Display-Processor/dp/B091V3XHD3/ref=sr_1_6?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-6&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
2021,HP 156 Thin Laptop Intel N4020 8GB RAM 128GB SSD Webcam 1Year Office365 WiFi Dual Core up to 28 GHz Windows 10 S FHD Display Google Classroom Zoom School Business Ready ROKC Bundle ,2021 HP 156 Thin Laptop Intel N4020 8GB RAM 128GB SSD Webcam 1Year Office365 WiFi Dual Core up to 28 GHz Windows 10 S FHD Display Google Classroom Zoom School Business Ready ROKC Bundle ,$419.00,4.3 out of 5 stars,67,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0642028278Y7A9RORE2Q&url=%2FHP-Office365-Windows-Classroom-Business%2Fdp%2FB099Y2R1VL%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1635951895%26sr%3D8-7-spons%26psc%3D1&qualifier=1635951895&id=7745219053137011&widgetName=sp_mtf
Dell,Inspiron 156inch Full HD Touch Screen AMD Ryzen 5 3450U QuadCore 8GB RAM 256GB SSD Windows 10 Laptop ,Dell Inspiron 156inch Full HD Touch Screen AMD Ryzen 5 3450U QuadCore 8GB RAM 256GB SSD Windows 10 Laptop ,$518.00,4.8 out of 5 stars,6,https://www.amazon.com/Dell-Inspiron-15-6-inch-Quad-Core-Windows/dp/B094L3BYRP/ref=sr_1_8?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-8&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
HP,Stream 14 Pink  Celeron N4000  4 GB RAM  64 GB eMMC Storage  14 LCD  Wireless  Bluetooth  Webcam  Windows 10 S ,HP Stream 14 Pink  Celeron N4000  4 GB RAM  64 GB eMMC Storage  14 LCD  Wireless  Bluetooth  Webcam  Windows 10 S ,$319.99,4.6 out of 5 stars,157,https://www.amazon.com/HP-Stream-14-Pink-Bluetooth/dp/B089S9N86P/ref=sr_1_9?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-9&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
2021,Newest HP Premium 14inch HD Laptop Intel DualCore Processor Up to 28GHz 16GB RAM 64GB eMMC Storage Webcam Bluetooth HDMI WiFi White Windows 10 with 1 Year Microsoft 365 ,2021 Newest HP Premium 14inch HD Laptop Intel DualCore Processor Up to 28GHz 16GB RAM 64GB eMMC Storage Webcam Bluetooth HDMI WiFi White Windows 10 with 1 Year Microsoft 365 ,$399.00,4.3 out of 5 stars,613,https://www.amazon.com/HP-Premium-Dual-Core-Processor-Bluetooth/dp/B096CZCN7Z/ref=sr_1_10?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-10&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
